sr#,problem_code,date_initiated,description,category,dispatch_to,address,zone,keymap,zip_code,status,initiated_date,initiated_time
177138,Tree Removal,2021-01-13 01:52 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - JONES, CODY",6225  STUEBNER AIRLINE ,"3, ZONE",452D,5261b,CLOSED,2021-01-13,01:52 PM
177139,Tree Trim,2021-01-13 02:33 PM,Tree Trim Inspection,TREEMAINTENANCE,"BLANCHETTE, PETER", 11900 HIGH STAR DR&4300 S KIRKWOOD RD,"2, ZONE",529E,4855d,CLOSED,2021-01-13,02:33 PM
177140,Tree Removal,2021-01-13 04:47 PM,Tree Removal Inspection,TREEMAINTENANCE,"BLANCHETTE, PETER",2012  VERMONT ,"2, ZONE",492R,5357c,CLOSED,2021-01-13,04:47 PM
177141,Tree Removal,2021-01-13 09:39 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - JONES, CODY",914 A  FISHER ,"3, ZONE",452L,5260d,CLOSED,2021-01-13,09:39 PM
177146,Tree Trim,2021-01-14 10:08 AM,Tree Trim Inspection,TREEMAINTENANCE,"BLANCHETTE, PETER",4116  MCDUFFIE ,"2, ZONE",492Z,5356a,CLOSED,2021-01-14,10:08 AM
177147,Tree Trim,2021-01-14 10:10 AM,Tree Trim Inspection,TREEMAINTENANCE,"BLANCHETTE, PETER",4208  MCDUFFIE ,"2, ZONE",492Z,5356a,CLOSED,2021-01-14,10:10 AM
177148,Tree Trim,2021-01-14 10:11 AM,Tree Trim Inspection,TREEMAINTENANCE,"BLANCHETTE, PETER",2020  COLQUITT ,"2, ZONE",492Z,5356a,CLOSED,2021-01-14,10:11 AM
177149,Tree Trim,2021-01-14 10:16 AM,Tree Trim Inspection,TREEMAINTENANCE,"BLANCHETTE, PETER",1922 W MAIN ,"2, ZONE",492V,5356a,CLOSED,2021-01-14,10:16 AM
177150,Tree Trim,2021-01-14 11:03 AM,Tree Trim Inspection,TREEMAINTENANCE,"UF - POLOVTSEV, SERA",5301  POLK ,"5, ZONE",494Y,5556a,CLOSED,2021-01-14,11:03 AM
177151,Tree Trim,2021-01-14 11:36 AM,Tree Trim Inspection,TREEMAINTENANCE,"UF - JONES, CODY",8806  LONG POINT ,"3, ZONE",450V,5059d,CLOSED,2021-01-14,11:36 AM
177152,Tree Removal,2021-01-14 01:09 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - JONES, CODY",3206  DEEP RIVER ,"4, ZONE",336H,5769b,CLOSED,2021-01-14,01:09 PM
177153,Tree Removal,2021-01-14 01:35 PM,Tree Removal Inspection,TREEMAINTENANCE,"BLANCHETTE, PETER",412  TELEPHONE ,"5, ZONE",494T,5456b,CLOSED,2021-01-14,01:35 PM
