"workorderid","description","priority","status","submit_to","proj_start_date","proj_finish_date","actual_start","actual_finish","shop","map_page","address","location","category","date_initiated","project","total_cost","comments","zone","request_ids","resolution","sr_problem_code","sr_description","sr_priority","proj_difference","actual_difference","request_id1","request_id2","request_id3","request_id4","request_id5","request_id6","request_id7","request_id8","request_id9"
361876,TRIM BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR","2021-10-19 13:56:00","2021-11-18 13:56:00","2021-12-21 12:00:00","2022-01-03 12:00:00",K,"570G","7914 CANDLEGREEN LN",Trim an Arizona Ash to remove deadwood. ,TREEMAINTENANCE,"2021-10-19 01:56 PM",FY22 - Tree Maintenance,94.0,Invoice #123140.,"7, ZONE","183053","00 - Work completed.",Tree Trim,Tree Trim Inspection,3,30,13,"183053","","","","","","","",""
361956,TRIM BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR","2021-10-25 12:35:00","2021-11-24 12:35:00","2021-12-21 12:00:00","2022-01-04 12:00:00",J,"531A","6262 GULFTON ST",Trim the trees on the splanade between westward and ramp,TREEMAINTENANCE,"2021-10-25 12:35 PM",FY22 - Tree Maintenance,1396.0,Invoice #123205.,"7, ZONE","182663","00 - Work completed.",Tree Trim,Tree Trim Inspection,3,30,14,"182663","","","","","","","",""
361982,REMOVAL & STUMP GRINDING BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR","2021-10-26 12:46:00","2021-11-25 12:46:00","2021-12-21 12:00:00","2022-01-11 12:00:00",H,"494D","6219 FORCE ST","Remove and stump grind dead 28"" oak on kress",TREEMAINTENANCE,"2021-10-26 12:46 PM",FY22 - Tree Maintenance,378.0,Invoice #123333.,"4, ZONE","182803","00 - Work completed.",Tree Trim,Tree Trim Inspection,3,30,21,"182803","","","","","","","",""
362000,TRIM BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR","2021-10-28 08:35:00","2021-11-27 08:35:00","2021-12-21 12:00:00","2022-01-06 12:00:00",J,"530S","9310 RONDA LN",Trim 14feet over the street and clear the fence ,TREEMAINTENANCE,"2021-10-28 08:35 AM",FY22 - Tree Maintenance,189.0,Invoice #123140.,"7, ZONE","182978","00 - Work completed.",Tree Trim,Tree Trim Inspection,3,30,16,"182978","","","","","","","",""
362186,REMOVAL & STUMP GRINDING BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR","2021-11-12 07:51:00","2021-12-12 07:51:00","2022-02-01 12:00:00","2022-04-07 12:00:00",A,"411T","6906 WAGONWHEEL LN","Remove 23"" dead Ash and grind stump.",TREEMAINTENANCE,"2021-11-12 07:51 AM",FY22 - Tree Maintenance,336.0,Invoice #126594.,"3, ZONE","184477","00 - Work completed.",Tree Trim,Tree Trim Inspection,1,30,65,"184477","","","","","","","",""
362320,REMOVAL & STUMP GRINDING BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR","2021-11-19 13:39:00","2021-12-19 13:39:00","2022-01-05 12:00:00","2022-01-27 12:00:00",E,"576A","1026 MARLEEN ST",Remove and stump grind dead Palm. ,TREEMAINTENANCE,"2021-11-19 01:39 PM",FY22 - Tree Maintenance,336.0,Invoice # 124009.,"5, ZONE","182786","00 - Work completed.",Tree Removal,Tree Removal Inspection,3,30,22,"182786","","","","","","","",""
362547,STUMP GRINDING BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR","2021-12-06 08:20:00","2022-01-05 08:20:00","2022-02-01 12:00:00","2022-10-25 12:00:00",K,"570D","6406 IVYKNOLL DR",Remove and stump grind dead Palm. ,TREEMAINTENANCE,"2021-12-06 08:20 AM",FY23 - Tree Maintenance,89.0,Invoice#133711,"7, ZONE","184659","00 - Work completed.",Tree Trim,Tree Trim Inspection,3,30,266,"184659","","","","","","","",""
362548,TRIM BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR","2021-12-06 08:23:00","2022-01-05 08:23:00","2022-02-01 12:00:00","2022-03-14 12:00:00",K,"570D","6406 IVYKNOLL DR",Trim privateArizona Ash to clear street light.,TREEMAINTENANCE,"2021-12-06 08:23 AM",FY22 - Tree Maintenance,105.0,Invoice #125525.,"7, ZONE","184659","00 - Work completed.",Tree Trim,Tree Trim Inspection,3,30,41,"184659","","","","","","","",""
362580,TRIM BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR","2021-12-06 14:00:00","2022-01-05 14:00:00","2022-02-01 12:00:00","2022-02-10 12:00:00",D,"533B","5512 CRAWFORD ST",Trim the 25inch palm on the splanade ,TREEMAINTENANCE,"2021-12-06 02:00 PM",FY22 - Tree Maintenance,94.0,Invoice #124579.,"7, ZONE","184675","00 - Work completed.",Tree Removal,Tree Removal Inspection,1,30,9,"184675","","","","","","","",""
363089,REMOVAL BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR","2022-01-24 09:37:00","2022-02-23 09:37:00","2022-04-01 12:00:00","2022-12-13 12:00:00",C,"452K","1402 GARDENIA DR",Remove tree- located on the Oak Forest side.,TREEMAINTENANCE,"2022-01-24 09:37:00",FY23 - Tree Maintenance,472.0,Invoice#134776,"3, ZONE","185319","00 - Work completed.",Tree Removal,Tree Removal Inspection,3,30,256,"185319","","","","","","","",""
363683,WATER TREES,4,CLOSED,"UF, IN-HOUSE","2022-04-23 12:00:00","2022-05-07 12:00:00","2022-04-23 12:00:00","2022-04-23 12:00:00",A,"451P",KEMPWOOD DR & WIRT RD,Water 120 trees in the medians along Kempwood from Wirt to Bingle. Watering ends 4/1/24.,TREEPLANTING,"2022-04-10 22:02:00","",0.0,"","3, ZONE","186025","00 - Work completed.",Tree Planting,Tree Planting Inspection,5,14,0,"186025","","","","","","","",""
354979,TRIM BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR","2020-01-06 12:58:00","2020-02-05 12:58:00","2020-01-07 12:00:00","2020-01-16 12:00:00",B,"454L","7117  PEACHTREE ","Trim private 40"" Live Oak 14ft above street and 8ft above sidewalk at 7217 Peachtree.",TREEMAINTENANCE,"2020-01-06 12:58:00",FY20 - Tree Maintenance,131.0,inv 10508,"4, ZONE","168925","00 - Work completed.",Tree Trim,Tree Trim Inspection,0,30,9,"168925","","","","","","","",""
